name,description,cuisine_type,neighborhood,price_range,ai_confidence,source,verification_status,business_status,permanently_closed,google_name,google_address,google_rating,google_rating_count,price_level,open_now,current_hours,place_types,website,last_verified,google_place_id,url,verification_error
Brothmonger,"Instagram-to-storefront soup café featuring wedding soup, pastina, and vintage sofa seating, built following through Instagram DMs",American,Bloomfield,Budget,High,Claude Opus Research,VERIFIED,OPERATIONAL,False,brothmonger,"4770 Liberty Ave, Pittsburgh, PA 15224, USA",4.9,68,,True,"['Monday: Closed', 'Tuesday: 11:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: Closed']","['restaurant', 'food', 'point_of_interest', 'establishment']",https://www.brothmonger.com/,2025-08-13T15:08:32.183609,ChIJTfjP8QzzNIgRIAHf6XCyQOQ,https://maps.google.com/maps?place_id=ChIJTfjP8QzzNIgRIAHf6XCyQOQ,
Gi-Jin,"Upscale sushi and gin bar requiring 13 weeks advance booking, from Richard DeShantz Restaurant Group",Japanese,Downtown,Fine dining,High,Claude Opus Research,VERIFIED,OPERATIONAL,False,gi-jin,"208 6th St, Pittsburgh, PA 15222, USA",4.6,375,,False,"['Monday: Closed', 'Tuesday: 5:00\u2009–\u200910:00\u202fPM', 'Wednesday: 5:00\u2009–\u200910:00\u202fPM', 'Thursday: 5:00\u2009–\u200910:00\u202fPM', 'Friday: 5:00\u2009–\u200910:00\u202fPM', 'Saturday: 5:00\u2009–\u200910:00\u202fPM', 'Sunday: Closed']","['restaurant', 'food', 'point_of_interest', 'establishment']",https://gi-jin.com/,2025-08-13T15:08:32.797081,ChIJoaEBy7LxNIgRW6AehuboyTg,https://maps.google.com/maps?place_id=ChIJoaEBy7LxNIgRW6AehuboyTg,
DiAnoia's Eatery,"Modern Italian restaurant, reservations open 43 days in advance at 8am on Resy, tables fill immediately, Pittsburgh Magazine hottest ticket",Italian,Strip District,Fine dining,High,Claude Opus Research,VERIFIED,OPERATIONAL,False,DiAnoia's Eatery,"2549 Penn Ave, Pittsburgh, PA 15222, USA",4.6,2193,2,True,"['Monday: Closed', 'Tuesday: 8:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 3:00\u2009–\u20098:00\u202fPM']","['bar', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",https://www.dianoiaseatery.com/,2025-08-13T15:08:33.084843,ChIJR-ud98TzNIgREwnaG2ksz6k,https://maps.google.com/maps?place_id=ChIJR-ud98TzNIgREwnaG2ksz6k,
Morcilla,"Spanish-influenced restaurant by chef Justin Severino, Bon Appétit #4 nationally 2016, house-made charcuterie and pintxos, 40-seat intimate setting",Spanish,Lawrenceville,Fine dining,High,Claude Opus Research,VERIFIED,OPERATIONAL,False,Morcilla,"3519 Butler St, Pittsburgh, PA 15201, USA",4.7,963,3,False,"['Monday: Closed', 'Tuesday: 5:00\u2009–\u20099:00\u202fPM', 'Wednesday: 5:00\u2009–\u20099:00\u202fPM', 'Thursday: 5:00\u2009–\u20099:00\u202fPM', 'Friday: 5:00\u2009–\u200910:00\u202fPM', 'Saturday: 4:00\u2009–\u200910:00\u202fPM', 'Sunday: Closed']","['restaurant', 'food', 'point_of_interest', 'establishment']",http://morcillapittsburgh.com/,2025-08-13T15:08:33.375519,ChIJ4SrQ-rTzNIgRBCWal8EzERk,https://maps.google.com/maps?place_id=ChIJ4SrQ-rTzNIgRBCWal8EzERk,
Whitfield,"Ace Hotel restaurant with chef Brent Young and James Beard nominee Bethany Zozula, refined country food celebrating Western Pennsylvania traditions",American,East Liberty,Fine dining,High,Claude Opus Research,VERIFIED,OPERATIONAL,False,Hey Babe,"120 S Whitfield St, Pittsburgh, PA 15206, USA",4.6,30,,False,"['Monday: 4:00\u2009–\u200910:00\u202fPM', 'Tuesday: 4:00\u2009–\u200910:00\u202fPM', 'Wednesday: 4:00\u2009–\u200910:00\u202fPM', 'Thursday: 4:00\u2009–\u200910:00\u202fPM', 'Friday: 4:00\u2009–\u200911:00\u202fPM', 'Saturday: 4:00\u2009–\u200911:00\u202fPM', 'Sunday: Closed']","['restaurant', 'point_of_interest', 'food', 'establishment']",https://heybabepgh.com/,2025-08-13T15:08:33.684044,ChIJ0fqwmdbzNIgRnfMBDVp3geo,https://maps.google.com/maps?place_id=ChIJ0fqwmdbzNIgRnfMBDVp3geo,
Main Street Diner & Kickback Cafe,"Beetlejuice-themed restaurant with cemetery entrance, Sandworm installations, 14 movie-themed pinball machines, Polish specialties",Polish,Lawrenceville,Mid-range,High,Claude Opus Research,VERIFIED,OPERATIONAL,False,Barb's Corner Kitchen,"4711 Butler St, Pittsburgh, PA 15201, USA",4.3,646,1,False,"['Monday: Closed', 'Tuesday: 8:00\u202fAM\u2009–\u20092:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20092:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20092:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20092:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20092:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u20092:00\u202fPM']","['restaurant', 'food', 'point_of_interest', 'establishment']",https://facebook.com/barbscornerkitchen,2025-08-13T15:08:34.004325,ChIJV79ZZlHyNIgRA3nFHpLybEU,https://maps.google.com/maps?place_id=ChIJV79ZZlHyNIgRA3nFHpLybEU,
Golden Gai Izakaya,"Tokyo-inspired narrow dining with 30 seats and fish spine chandelier, channels Tokyo's narrow dining alleys",Japanese,Bakery Square,Mid-range,High,Claude Opus Research,VERIFIED,OPERATIONAL,False,Golden Gai,"116 Bakery Square Blvd, Pittsburgh, PA 15206, USA",4.5,63,,False,"['Monday: Closed', 'Tuesday: 5:00\u2009–\u200910:00\u202fPM', 'Wednesday: 5:00\u2009–\u200910:00\u202fPM', 'Thursday: 5:00\u2009–\u200910:00\u202fPM', 'Friday: 5:00\u2009–\u200910:00\u202fPM', 'Saturday: 5:00\u2009–\u200910:00\u202fPM', 'Sunday: Closed']","['restaurant', 'food', 'point_of_interest', 'establishment']",http://goldengaipgh.com/,2025-08-13T15:08:34.312312,ChIJG6luoobtNIgRCJ5wclfm7fY,https://maps.google.com/maps?place_id=ChIJG6luoobtNIgRCJ5wclfm7fY,
KuJira,Pittsburgh's first all-you-can-eat Japanese restaurant with three tiers ranging from $27.99 to $110 for two people,Japanese,Shadyside,Mid-range,High,Claude Opus Research,VERIFIED,OPERATIONAL,False,KuJiRa Sushi & Bar,"736 Bellefonte St, Pittsburgh, PA 15232, USA",4.4,592,2,True,"['Monday: 11:30\u202fAM\u2009–\u20099:30\u202fPM', 'Tuesday: Closed', 'Wednesday: 11:30\u202fAM\u2009–\u20099:30\u202fPM', 'Thursday: 11:30\u202fAM\u2009–\u20099:30\u202fPM', 'Friday: 11:30\u202fAM\u2009–\u200910:30\u202fPM', 'Saturday: 11:30\u202fAM\u2009–\u200910:30\u202fPM', 'Sunday: 11:30\u202fAM\u2009–\u20099:30\u202fPM']","['restaurant', 'food', 'point_of_interest', 'establishment']",http://kujirasushi.com/,2025-08-13T15:08:34.564534,ChIJgQ6hMabzNIgRcxODFP5gda4,https://maps.google.com/maps?place_id=ChIJgQ6hMabzNIgRcxODFP5gda4,
Wild Rosemary Bistro,Family-style supper club with BYOB service and ever-changing seasonal menus from chef Raymond Mikesell,American,Upper St. Clair,Mid-range,High,Claude Opus Research,VERIFIED,OPERATIONAL,False,Wild Rosemary Bistro,"1471 Bower Hill Rd, Pittsburgh, PA 15241, USA",4.5,139,3,False,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: 5:00\u2009–\u20099:00\u202fPM', 'Friday: 5:00\u2009–\u20099:00\u202fPM', 'Saturday: 4:30\u2009–\u20099:00\u202fPM', 'Sunday: Closed']","['restaurant', 'food', 'point_of_interest', 'establishment']",http://wildrosemarybistro.com/,2025-08-13T15:08:34.859945,ChIJhVhPAwb4NIgR918b8VvmiB0,https://maps.google.com/maps?place_id=ChIJhVhPAwb4NIgR918b8VvmiB0,
Panadería Jazmin,"Authentic Mexican restaurant expanded from takeout window, constant lines, family recipe tamales, churros, and café de olla",Mexican,Mt. Lebanon,Budget,High,Claude Opus Research,VERIFIED,OPERATIONAL,False,Panaderia Jazmin,"300 Beverly Rd Suite A, Pittsburgh, PA 15216, USA",4.9,328,1,True,"['Monday: Closed', 'Tuesday: 7:00\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20097:00\u202fPM', 'Saturday: 7:00\u202fAM\u2009–\u20097:00\u202fPM', 'Sunday: 7:00\u202fAM\u2009–\u20097:00\u202fPM']","['bakery', 'restaurant', 'point_of_interest', 'store', 'food', 'establishment']",,2025-08-13T15:08:35.113774,ChIJ_9hezBv3NIgRg1lJkkoeOwM,https://maps.google.com/maps?place_id=ChIJ_9hezBv3NIgRg1lJkkoeOwM,
Alberta's Pizzeria,"Neo-Neapolitan pizza, transitioned from 2016 food truck to July 2024 brick-and-mortar, cosmopolitan atmosphere with South African wine selection",Italian,North Side,Mid-range,High,Claude Opus Research,VERIFIED,OPERATIONAL,False,Alberta's Pizzeria,"917 Western Ave, Pittsburgh, PA 15233, USA",4.3,92,,False,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: 4:30\u2009–\u200910:00\u202fPM', 'Thursday: 4:30\u2009–\u200910:00\u202fPM', 'Friday: 4:00\u2009–\u200910:00\u202fPM', 'Saturday: 11:30\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: Closed']","['restaurant', 'food', 'point_of_interest', 'establishment']",https://www.albertaspizzapgh.com/,2025-08-13T15:08:35.414834,ChIJ3UwVkIP1NIgRtoed_rxp1UA,https://maps.google.com/maps?place_id=ChIJ3UwVkIP1NIgRtoed_rxp1UA,
Allegheny Spice Kitchen,"Pittsburgh's only source for pressure momo (Bhutanese-Nepali dumplings), authentic Himalayan cuisine from chef Pawan Ghimirey",Himalayan,Baldwin,Mid-range,High,Claude Opus Research,VERIFIED,OPERATIONAL,False,Allegheny Spice Kitchen,"4871 Clairton Blvd, Pittsburgh, PA 15236, USA",4.6,217,2,True,"['Monday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: Closed', 'Wednesday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Sunday: 11:00\u202fAM\u2009–\u20099:00\u202fPM']","['restaurant', 'food', 'point_of_interest', 'establishment']",https://alleghenyspicekitchen.com/?utm_source=google,2025-08-13T15:08:36.014355,ChIJgyVk2tj7NIgR7-z0S4Je1-g,https://maps.google.com/maps?place_id=ChIJgyVk2tj7NIgR7-z0S4Je1-g,
Titusz,Upcoming Austro-Hungarian cuisine restaurant in former Merchant Oyster Co. space with chef Csilla Thackray (formerly of Fet-Fisk),Austro-Hungarian,Lawrenceville,Fine dining,Medium,Claude Opus Research,VERIFIED,OPERATIONAL,False,Altius,"1230 Grandview Ave, Pittsburgh, PA 15211, USA",4.7,1868,4,False,"['Monday: 5:00\u2009–\u20099:00\u202fPM', 'Tuesday: 5:00\u2009–\u20099:00\u202fPM', 'Wednesday: 5:00\u2009–\u20099:00\u202fPM', 'Thursday: 5:00\u2009–\u20099:00\u202fPM', 'Friday: 5:00\u2009–\u200910:00\u202fPM', 'Saturday: 4:00\u2009–\u200910:00\u202fPM', 'Sunday: Closed']","['restaurant', 'point_of_interest', 'food', 'establishment']",http://altiuspgh.com/,2025-08-13T15:08:36.292841,ChIJWdAveK_2NIgRLTc86K9aJpk,https://maps.google.com/maps?place_id=ChIJWdAveK_2NIgRLTc86K9aJpk,
Palm Palm,Upcoming West Coast-inspired tapas with Slim Aarons photography aesthetic,American,Shadyside,Mid-range,Medium,Claude Opus Research,VERIFIED,OPERATIONAL,False,Palm Palm,"5996 Centre Ave, Pittsburgh, PA 15206, USA",4.1,133,,False,"['Monday: 3:30\u2009–\u200910:00\u202fPM', 'Tuesday: 3:30\u2009–\u200910:00\u202fPM', 'Wednesday: 3:30\u2009–\u200910:00\u202fPM', 'Thursday: 3:30\u2009–\u200910:00\u202fPM', 'Friday: 3:30\u2009–\u200911:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u200911:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20099:00\u202fPM']","['restaurant', 'point_of_interest', 'food', 'establishment']",https://palmpalmpgh.com/,2025-08-13T15:08:36.573491,ChIJ9wRKdwDzNIgR61-YrW-nZPI,https://maps.google.com/maps?place_id=ChIJ9wRKdwDzNIgR61-YrW-nZPI,
F&F Pizza,Famous NYC pizzeria's first Pittsburgh location coming to Mt. Lebanon,Italian,Mt. Lebanon,Mid-range,Medium,Claude Opus Research,VERIFIED,OPERATIONAL,False,Florence Pizza and Pasta,"461 Perry Hwy, Pittsburgh, PA 15229, USA",4.4,71,2,True,"['Monday: 1:00\u202fPM\u2009–\u20094:00\u202fAM', 'Tuesday: 1:00\u202fPM\u2009–\u20094:00\u202fAM', 'Wednesday: 1:00\u202fPM\u2009–\u20094:00\u202fAM', 'Thursday: 1:00\u202fPM\u2009–\u20094:00\u202fAM', 'Friday: 1:00\u202fPM\u2009–\u20094:00\u202fAM', 'Saturday: 1:00\u202fPM\u2009–\u20094:00\u202fAM', 'Sunday: 1:00\u202fPM\u2009–\u20094:00\u202fAM']","['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",http://florencepizzaandpastapa.com/,2025-08-13T15:08:36.829313,ChIJh4COw3D1NIgRvtt7roZYV7E,https://maps.google.com/maps?place_id=ChIJh4COw3D1NIgRvtt7roZYV7E,
